epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0505,1.00041,1.78302,2.4698,1.21691,0.03604,0.62654,0.16883,0.09124,0.03658,0.6358,0.15341,0.08235,1.38304,2.7808,3.2717,1.69467,0.000651515,0.000651515,0.000651515
2,88.6123,1.20684,1.86481,2.07004,1.31909,0.36717,0.16667,0.18707,0.09119,0.24949,0.11111,0.06344,0.02098,1.67812,5.97344,3.18537,1.96395,0.00127468,0.00127468,0.00127468
3,119.971,1.33243,2.0579,2.06051,1.42687,0.10359,0.15741,0.04943,0.01804,0.07782,0.12654,0.02435,0.00753,2.19993,8.74075,4.41267,2.70124,0.00185385,0.00185385,0.00185385
4,155.685,1.3604,2.09096,1.96122,1.40991,0.36248,0.3858,0.2759,0.1413,0.35701,0.34568,0.25974,0.13679,1.60649,3.73839,3.05166,1.91114,0.001802,0.001802,0.001802
5,190.973,1.37602,2.07645,1.85176,1.41833,0.30218,0.23457,0.19034,0.10077,0.28505,0.23148,0.17301,0.09517,1.74521,5.7881,4.31047,2.11745,0.001736,0.001736,0.001736
6,223.997,1.26438,1.97924,1.65822,1.3549,0.41111,0.41667,0.35118,0.18651,0.41768,0.39849,0.34862,0.1838,1.55071,2.90158,2.54908,1.73504,0.00167,0.00167,0.00167
7,264.327,1.25819,1.92435,1.57428,1.36265,0.5894,0.47222,0.48926,0.27864,0.63392,0.46296,0.47994,0.27859,1.45267,2.48206,1.84694,1.68179,0.001604,0.001604,0.001604
8,299.382,1.18578,1.90695,1.5173,1.29971,0.53125,0.51543,0.44603,0.25475,0.55204,0.50966,0.44539,0.26596,1.44782,2.46028,2.05843,1.67241,0.001538,0.001538,0.001538
9,331.128,1.14103,1.82534,1.44293,1.29435,0.51985,0.56807,0.47981,0.29386,0.51943,0.56711,0.46815,0.28975,1.36798,2.24327,1.64914,1.5624,0.001472,0.001472,0.001472
10,365.382,1.18186,1.85207,1.42221,1.30128,0.48003,0.5463,0.47986,0.27092,0.62568,0.454,0.49645,0.28617,1.39958,2.06894,1.69109,1.59572,0.001406,0.001406,0.001406
11,400.767,1.15385,1.80627,1.38048,1.27977,0.49498,0.42284,0.39909,0.22979,0.45852,0.40771,0.36522,0.20096,1.52726,2.92445,1.98733,1.70623,0.00134,0.00134,0.00134
12,432.047,1.10338,1.68982,1.33822,1.24902,0.67475,0.49691,0.53019,0.31188,0.67562,0.495,0.52309,0.32345,1.37776,2.2875,1.61104,1.61652,0.001274,0.001274,0.001274
13,467.823,1.10649,1.68028,1.31593,1.25526,0.60058,0.53395,0.51989,0.32463,0.62705,0.52412,0.52113,0.31961,1.31673,2.3648,1.60853,1.52023,0.001208,0.001208,0.001208
14,501.106,1.07535,1.6032,1.2657,1.23819,0.6652,0.55247,0.57766,0.37611,0.67218,0.55864,0.59265,0.3995,1.2228,1.78116,1.42038,1.42926,0.001142,0.001142,0.001142
15,533.24,1.07574,1.63946,1.2722,1.23339,0.53739,0.61728,0.53222,0.34499,0.55114,0.6358,0.54411,0.36442,1.20138,1.8338,1.44566,1.41993,0.001076,0.001076,0.001076
16,569.501,1.0523,1.56282,1.22024,1.21851,0.63524,0.57099,0.58155,0.37787,0.67866,0.53395,0.57644,0.37595,1.25828,1.97081,1.41691,1.44913,0.00101,0.00101,0.00101
17,608.723,0.97837,1.54963,1.13363,1.19499,0.61281,0.5862,0.57609,0.37698,0.63199,0.55556,0.56718,0.38031,1.20609,1.88398,1.44587,1.43465,0.000944,0.000944,0.000944
18,640.773,0.99846,1.52896,1.16461,1.19855,0.62162,0.61728,0.59478,0.38356,0.61025,0.60406,0.57817,0.39202,1.16842,1.81689,1.41705,1.4022,0.000878,0.000878,0.000878
19,675.736,0.96269,1.46792,1.12833,1.17491,0.65071,0.58074,0.60114,0.39449,0.6318,0.57716,0.58292,0.41432,1.15901,1.82401,1.36397,1.40133,0.000812,0.000812,0.000812
20,710.872,0.9331,1.4155,1.04404,1.14746,0.63953,0.61328,0.59137,0.38679,0.63726,0.61111,0.59343,0.3902,1.21325,1.93708,1.40092,1.46024,0.000746,0.000746,0.000746
